,날짜,시가,고가,저가,종가,조정증가,거래량
0,2026-01-05,134600.00,137800.00,133600.00,137800.00,137800.00,33657409
1,2026-01-02,120200.00,128500.00,120200.00,128500.00,128500.00,30463279
2,2025-12-30,119100.00,121200.00,118700.00,119900.00,119900.00,19746349
3,2025-12-29,119400.00,119700.00,118200.00,119500.00,119500.00,19676004
4,2025-12-26,112400.00,117000.00,112400.00,117000.00,117000.00,34018174
5,2025-12-24,112400.00,112400.00,110900.00,111100.00,111100.00,12492939
6,2025-12-23,110900.00,112500.00,110400.00,111500.00,111500.00,20419187
7,2025-12-22,109700.00,110500.00,109300.00,110500.00,110500.00,24859171
8,2025-12-19,109700.00,109700.00,106200.00,106300.00,106300.00,25917098
9,2025-12-18,106400.00,108200.00,105700.00,107600.00,107600.00,20445631
10,2025-12-17,103500.00,108100.00,103400.00,107900.00,107900.00,22297611
11,2025-12-16,104900.00,105600.00,102700.00,102800.00,102800.00,18852079
12,2025-12-15,105300.00,105800.00,104600.00,104800.00,104800.00,20594654
13,2025-12-12,107100.00,108900.00,106800.00,108900.00,108900.00,14210314
14,2025-12-11,109200.00,110500.00,107300.00,107300.00,107300.00,22994507
15,2025-12-10,108300.00,109800.00,107400.00,108000.00,108000.00,12365092
16,2025-12-09,108900.00,109400.00,107300.00,108400.00,108400.00,13671800
17,2025-12-08,109700.00,110000.00,108000.00,109500.00,109500.00,15527762
18,2025-12-05,105300.00,108400.00,104600.00,108400.00,108400.00,19755571
19,2025-12-04,103900.00,105100.00,103200.00,105100.00,105100.00,11931145
20,2025-12-03,104700.00,105500.00,104000.00,104500.00,104500.00,14697927
21,2025-12-02,101200.00,103500.00,101000.00,103400.00,103400.00,13649487
22,2025-12-01,102000.00,102800.00,99900.00,100800.00,100800.00,10905526
23,2025-11-28,103800.00,103800.00,100500.00,100500.00,100500.00,15292277
24,2025-11-27,104100.00,105500.00,102700.00,103500.00,103500.00,16453004
25,2025-11-26,100500.00,102900.00,99300.00,102800.00,102800.00,21314975
26,2025-11-25,101400.00,101400.00,97800.00,99300.00,99300.00,16110054
27,2025-11-24,97800.00,99000.00,96200.00,96700.00,96700.00,29831172
28,2025-11-21,95600.00,96800.00,94500.00,94800.00,94800.00,23103574
29,2025-11-20,100900.00,102900.00,99500.00,100600.00,100600.00,25360435
30,2025-11-19,97100.00,97500.00,94600.00,96500.00,96500.00,18993346
31,2025-11-18,99800.00,100900.00,97500.00,97800.00,97800.00,18684068
32,2025-11-17,99800.00,101000.00,99500.00,100600.00,100600.00,17192584
33,2025-11-14,99000.00,99600.00,97200.00,97200.00,97200.00,21806342
34,2025-11-13,102500.00,104200.00,102300.00,102800.00,102800.00,20838741
35,2025-11-12,103000.00,103900.00,101600.00,103100.00,103100.00,19413497
36,2025-11-11,103700.00,106000.00,102000.00,103500.00,103500.00,27742542
37,2025-11-10,98600.00,101000.00,97900.00,100600.00,100600.00,23842327
38,2025-11-07,96400.00,100300.00,96300.00,97900.00,97900.00,22908083
39,2025-11-06,103700.00,103800.00,98800.00,99200.00,99200.00,28655689
40,2025-11-05,101000.00,102000.00,96700.00,100600.00,100600.00,44843020
41,2025-11-04,111800.00,112400.00,104900.00,104900.00,104900.00,30450281
42,2025-11-03,106900.00,111500.00,106500.00,111100.00,111100.00,30110066
43,2025-10-31,105000.00,108600.00,103300.00,107500.00,107500.00,54824564
44,2025-10-30,102400.00,105800.00,102000.00,104100.00,104100.00,34570017
45,2025-10-29,100200.00,101000.00,99100.00,100500.00,100500.00,20899788
46,2025-10-28,100900.00,101000.00,99100.00,99500.00,99500.00,20002282
47,2025-10-27,101300.00,102000.00,100600.00,102000.00,102000.00,22169970
48,2025-10-24,97900.00,99000.00,97700.00,98800.00,98800.00,18801925
49,2025-10-23,96800.00,98500.00,96300.00,96500.00,96500.00,18488581
50,2025-10-22,97100.00,98600.00,95500.00,98600.00,98600.00,15937611
51,2025-10-21,98500.00,99900.00,97300.00,97500.00,97500.00,22803830
52,2025-10-20,97900.00,98300.00,96000.00,98100.00,98100.00,17589756
53,2025-10-17,97200.00,99100.00,96700.00,97900.00,97900.00,22730809
54,2025-10-16,95300.00,97700.00,95000.00,97700.00,97700.00,28141060
55,2025-10-15,92300.00,95300.00,92100.00,95000.00,95000.00,21050111
56,2025-10-14,95300.00,96000.00,90200.00,91600.00,91600.00,35545235
57,2025-10-13,91300.00,93400.00,90700.00,93300.00,93300.00,23883308
58,2025-10-10,94000.00,94500.00,92700.00,94400.00,94400.00,35269748
59,2025-10-02,89300.00,90300.00,88700.00,89750.00,89750.00,49883028
60,2025-10-01,84900.00,86200.00,84700.00,86000.00,86000.00,22039361
61,2025-09-30,84600.00,84900.00,83400.00,83900.00,83900.00,16319061
62,2025-09-29,370 Dividend,370 Dividend,370 Dividend,370 Dividend,370 Dividend,370 Dividend
63,2025-09-29,83300.00,85000.00,83200.00,84200.00,84200.00,13069094
64,2025-09-26,85000.00,85300.00,82400.00,83300.00,82930.00,24071193
65,2025-09-25,84400.00,86200.00,84100.00,86100.00,85717.56,19665151
66,2025-09-24,84200.00,85500.00,83700.00,85400.00,85020.67,18300997
67,2025-09-23,85800.00,85900.00,83600.00,84700.00,84323.78,23610263
68,2025-09-22,81500.00,84000.00,81100.00,83500.00,83129.11,27529656
